seed,sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,converged,convergenceTime,victimsFound
45,100.0,25,50.0,1.5,2.0,false,NaN,0
45,100.0,25,50.0,2.0,2.0,false,NaN,0
45,100.0,30,50.0,1.0,1.0,false,NaN,0
45,100.0,30,50.0,1.5,1.5,false,NaN,1
45,100.0,25,50.0,2.0,1.5,false,NaN,0
45,100.0,30,50.0,1.0,1.5,false,NaN,2
45,100.0,30,50.0,2.0,1.5,false,NaN,3
45,100.0,30,50.0,1.5,2.0,false,NaN,2
45,100.0,30,50.0,2.0,1.0,false,NaN,0
45,100.0,30,50.0,1.5,1.0,false,NaN,1
45,100.0,30,50.0,2.0,2.0,false,NaN,0
45,100.0,30,50.0,1.0,2.0,false,NaN,0
45,100.0,20,100.0,1.5,1.0,false,NaN,4
45,100.0,20,100.0,2.0,1.0,false,NaN,4
45,100.0,20,100.0,1.0,1.5,false,NaN,4
45,100.0,20,100.0,1.0,1.0,false,NaN,4
45,100.0,20,100.0,1.5,1.5,false,NaN,4
45,100.0,20,100.0,2.0,1.5,false,NaN,4
45,100.0,20,100.0,1.5,2.0,false,NaN,4
45,100.0,20,100.0,2.0,2.0,false,NaN,4
45,100.0,25,100.0,1.0,1.0,false,NaN,4
45,100.0,25,100.0,1.0,1.5,false,NaN,4
45,100.0,20,100.0,1.0,2.0,false,NaN,4
45,100.0,25,100.0,1.0,2.0,false,NaN,4
45,100.0,25,100.0,2.0,1.5,false,NaN,4
45,100.0,25,100.0,1.5,1.5,false,NaN,4
45,100.0,30,100.0,1.0,1.0,false,NaN,4
45,100.0,25,100.0,1.5,2.0,false,NaN,4
45,100.0,25,100.0,1.5,1.0,false,NaN,4
45,100.0,25,100.0,2.0,1.0,false,NaN,4
45,100.0,30,100.0,1.5,1.0,false,NaN,3
45,100.0,25,100.0,2.0,2.0,false,NaN,4
45,100.0,30,100.0,2.0,1.0,false,NaN,3
45,100.0,30,100.0,1.5,1.5,false,NaN,3
45,100.0,30,100.0,1.0,1.5,false,NaN,3
45,100.0,30,100.0,2.0,1.5,false,NaN,3
45,100.0,30,100.0,1.5,2.0,false,NaN,3
45,100.0,30,100.0,2.0,2.0,false,NaN,3
45,100.0,20,150.0,1.5,1.0,false,NaN,3
45,100.0,20,150.0,2.0,1.0,false,NaN,3
45,100.0,20,150.0,1.0,1.0,false,NaN,4
45,100.0,20,150.0,2.0,1.5,false,NaN,4
45,100.0,20,150.0,2.0,2.0,false,NaN,3
45,100.0,25,150.0,1.0,1.0,false,NaN,3
45,100.0,20,150.0,1.5,2.0,false,NaN,3
45,100.0,20,150.0,1.0,2.0,false,NaN,4
45,100.0,30,100.0,1.0,2.0,false,NaN,4
45,100.0,20,150.0,1.5,1.5,false,NaN,4
45,100.0,20,150.0,1.0,1.5,false,NaN,4
45,100.0,25,150.0,1.5,1.0,false,NaN,4
45,100.0,25,150.0,2.0,1.0,false,NaN,4
45,100.0,25,150.0,1.0,1.5,false,NaN,4
